ZIP code,Complaint ID
088XX,2216206
946XX,2436894
208XX,2444452
913XX,2438698
606XX,2447675
303XX,2442733
185XX,2443388
290XX,2440279
281XX,2445609
773XX,2444768
423XX,2371744
802XX,2444582
741XX,2371928
900XX,2439263
221XX,2438700
928XX,2431565
350XX,2442864
190XX,2398200
038XX,2442917
200XX,2447351
376XX,2371616
191XX,2440285
891XX,2444547
752XX,2444577
212XX,2441982
775XX,2444123
300XX,2373228
750XX,2436277
925XX,2440401
953XX,1914423
775XX,2444285
379XX,2446884
926XX,2426136
433XX,2441788
554XX,2412732
302XX,2441323
852XX,2447348
278XX,2329445
193XX,2437750
330XX,2444869
300XX,2442124
322XX,2445935
381XX,2371677
292XX,2423435
391XX,2440298
024XX,2419713
900XX,2441333
600XX,2420825
182XX,2401871
605XX,2397046
770XX,2434854
934XX,2439707
775XX,2372209
339XX,2440617
224XX,2371864
300XX,2439908
301XX,2439443
921XX,2442478
951XX,2439795
729XX,2383241
762XX,2440991
532XX,2437217
100XX,2412744
294XX,2443963
731XX,2440699
112XX,2439575
233XX,2439642
029XX,2441143
056XX,2371894
657XX,2446051
958XX,2420310
900XX,2443835
802XX,2446421
300XX,2439659
370XX,2437254
280XX,2446941
325XX,2443719
785XX,2375350
935XX,2371763
303XX,2441053
163XX,2371775
234XX,2426957
118XX,2439475
200XX,2441669
087XX,2371956
850XX,2371657
606XX,2371669
333XX,2371708
974XX,2371825
142XX,2430596
800XX,1699163
926XX,2371733
297XX,2223187
672XX,2446065
042XX,2278990
112XX,2371890
320XX,2434133
900XX,2394086
921XX,2266823
932XX,2433297
606XX,1697827
287XX,2371831
604XX,2440120
300XX,2436309
941XX,2436634
100XX,2443455
600XX,2424250
297XX,2447529
604XX,2447205
083XX,2443295
926XX,2442896
931XX,2440129
176XX,2439502
750XX,2379040
782XX,2441319
773XX,2444620
528XX,2438105
342XX,2371656
925XX,2092269
200XX,2371784
207XX,2420235
914XX,2442800
302XX,2371681
770XX,2371603
023XX,2442663
851XX,2439521
919XX,2443062
212XX,2442089
837XX,2371772
086XX,2382679
917XX,2371705
945XX,2441593
262XX,2425925
098XX,2426335
752XX,2446160
681XX,2439539
220XX,2417043
913XX,2426640
540XX,2379967
588XX,2441402
946XX,2447040
341XX,2440171
782XX,2440961
461XX,2371967
920XX,2442418
967XX,2436261
381XX,2428559
925XX,2415676
206XX,2430838
290XX,2432570
346XX,2440172
060XX,2371615
980XX,1649572
233XX,2371631
026XX,2441040
301XX,2030854
945XX,2441701
191XX,2435778
282XX,2445680
330XX,2425546
462XX,2440878
272XX,2224308
300XX,2371582
553XX,2399680
310XX,2417210
294XX,2443518
775XX,2444183
067XX,2444882
070XX,2441105
604XX,2371641
068XX,2441698
241XX,2440843
946XX,2441635
117XX,2399086
454XX,2438094
802XX,2371880
980XX,2447215
980XX,2419603
604XX,1816071
024XX,2427886
300XX,2168493
301XX,2440291
234XX,2426023
300XX,2414890
980XX,2144108
303XX,2443398
432XX,2439794
432XX,2439424
194XX,2445782
070XX,2404531
922XX,2399978
574XX,2443849
917XX,2446830
553XX,2372334
605XX,2446587
287XX,2400002
300XX,2442390
802XX,2400971
900XX,2441414
890XX,2444537
977XX,2399197
986XX,2442887
303XX,2443773
066XX,2435824
208XX,2447658
908XX,2373486
853XX,2445086
922XX,2398875
622XX,2415565
750XX,2438887
115XX,2417343
117XX,2423844
752XX,2446079
334XX,2446035
891XX,2440729
681XX,2441191
911XX,2371809
571XX,2418910
338XX,2419418
151XX,2446527
322XX,2443607
155XX,2399416
302XX,2442050
361XX,2424925
370XX,2444048
310XX,2417628
402XX,2418689
600XX,2371780
460XX,2443444
891XX,2371891
773XX,2399563
482XX,2372229
479XX,2444565
945XX,2441184
275XX,2436524
352XX,2358763
381XX,2405505
381XX,2399568
115XX,2440372
238XX,2400188
110XX,2447590
560XX,2441851
430XX,2444648
281XX,1964640
553XX,2398713
238XX,2398552
238XX,2399092
482XX,2372284
770XX,2444703
077XX,2430757
334XX,2418342
383XX,2393530
840XX,2226859
751XX,2447598
088XX,2442977
441XX,2447723
923XX,2443681
606XX,2435812
482XX,2372274
191XX,2371682
021XX,2445379
030XX,1324587
920XX,2441322
067XX,2444539
933XX,2437335
117XX,2399452
770XX,2374964
089XX,2446213
731XX,2372089
110XX,2445891
758XX,2415115
352XX,2418497
604XX,2446300
301XX,2443080
482XX,2372119
985XX,2418075
142XX,2371608
150XX,2445694
933XX,2399344
300XX,2419767
850XX,2445286
937XX,2444441
370XX,2417295
231XX,2445178
361XX,2445403
731XX,2443234
320XX,2400653
935XX,2423116
757XX,2372006
380XX,2399929
977XX,1706022
770XX,2444227
913XX,2371649
803XX,2446425
550XX,2445168
984XX,2401622
605XX,2441931
280XX,2443052
450XX,2371906
275XX,2446913
232XX,2442474
337XX,2371751
159XX,2429873
554XX,2371779
606XX,2371663
302XX,2364474
940XX,2398921
275XX,2399267
320XX,2442231
770XX,2470016
972XX,2439982
222XX,2464476
799XX,2465056
897XX,2442200
770XX,2474173
726XX,2467616
109XX,2466532
483XX,2419200
190XX,2372173
104XX,2466065
773XX,2467706
483XX,2471090
220XX,1807608
112XX,2417341
027XX,2466535
981XX,2465149
930XX,2466842
334XX,2467992
921XX,2467596
141XX,2427188
927XX,2466567
330XX,2426028
465XX,2466080
335XX,2447376
083XX,2471175
479XX,2442137
334XX,2469088
501XX,2437352
871XX,2469607
787XX,2464695
221XX,2466085
301XX,2465380
604XX,2469315
206XX,2472779
035XX,2467986
761XX,2444439
774XX,2467256
540XX,2445708
435XX,2470132
920XX,2467238
754XX,2465026
028XX,2465241
280XX,2464667
384XX,2464594
330XX,2439769
246XX,2446928
300XX,2464318
338XX,2469554
750XX,2474445
441XX,2465888
303XX,2467412
373XX,2412799
778XX,2465784
330XX,2397145
276XX,2472284
330XX,2467243
539XX,2443193
941XX,2466415
071XX,2467295
891XX,2469198
380XX,2372076
808XX,2466186
631XX,2465477
760XX,2467953
373XX,2464677
752XX,2467030
149XX,2470908
308XX,2466901
394XX,2466008
337XX,2465823
805XX,2426113
532XX,2467967
958XX,2465059
983XX,2468334
328XX,2469657
934XX,2465626
346XX,2465490
191XX,2467240
986XX,2464811
330XX,2475489
750XX,2474454
922XX,2372027
853XX,2467198
330XX,2466748
913XX,2470240
282XX,2465183
282XX,2469076
330XX,2440691
402XX,2464458
330XX,2425794
349XX,2471580
323XX,2447379
483XX,2466121
948XX,2464673
303XX,2466492
282XX,2470968
302XX,2467081
955XX,2469510
272XX,2469047
550XX,2472254
207XX,2372264
305XX,2446848
840XX,2474242
722XX,2470310
136XX,2372233
503XX,2469158
935XX,2474018
305XX,2464421
402XX,2464364
864XX,2464664
381XX,2467472
104XX,2466063
199XX,2466629
328XX,2467648
774XX,2467288
863XX,2464777
065XX,2465358
483XX,2464732
946XX,2372044
384XX,2464582
852XX,2467191
604XX,2437538
490XX,2465133
088XX,2468134
705XX,2467318
195XX,2469444
290XX,2472897
606XX,2441474
190XX,2465388
070XX,2413184
483XX,2471086
891XX,2468136
773XX,2468160
321XX,2464419
151XX,2468693
391XX,2465467
604XX,2445978
703XX,2466884
984XX,2465594
917XX,2466407
397XX,2466599
928XX,2466357
142XX,2466593
982XX,2441504
604XX,2468462
928XX,2467975
850XX,2468743
198XX,2465521
333XX,2465944
130XX,2468323
172XX,2470151
852XX,2466217
951XX,2468521
461XX,2464505
349XX,2466066
570XX,2468042
906XX,2469288
104XX,2468475
080XX,2466028
320XX,2467646
070XX,2441619
027XX,2466536
070XX,2464436
300XX,2467113
770XX,2467011
109XX,2467403
760XX,2468099
497XX,2466170
941XX,2464354
750XX,2469056
184XX,2467881
852XX,2467193
604XX,2467766
178XX,2465333
302XX,2470070
506XX,2432421
781XX,2470011
080XX,2464432
844XX,2470256
752XX,2467028
935XX,2471924
327XX,2464801
890XX,2474940
391XX,2465468
945XX,2464820
871XX,2465638
860XX,2464788
809XX,2468049
321XX,2464463
330XX,2399149
915XX,2467159
809XX,2372055
925XX,2471797
925XX,2465382
907XX,2441110
705XX,2443546
321XX,2466702
320XX,2464768
113XX,2372314
077XX,2467621
553XX,2464337
836XX,2465346
554XX,2467052
681XX,2464609
166XX,2465907
346XX,2422064
770XX,2465466
293XX,2465715
600XX,2471191
178XX,2465514
900XX,2472247
752XX,2466130
217XX,2466843
336XX,2469358
422XX,2470700
174XX,2465155
331XX,2443316
532XX,2464331
604XX,2467600
221XX,2465356
040XX,2465701
604XX,2466016
220XX,2441617
935XX,2464832
028XX,2465253
117XX,2425950
328XX,2465545
234XX,2469790
231XX,2471653
782XX,2464826
021XX,2464653
917XX,2437262
981XX,2465150
761XX,2467946
142XX,2469383
487XX,2469072
207XX,2466284
119XX,2467602
774XX,2469125
701XX,2468021
294XX,2468128
483XX,2470656
282XX,2469575
073XX,2467151
302XX,2464918
762XX,2469080
703XX,2467964
475XX,2467837
